"filename", "language", "XML", "Batch", "HTML", "YAML", "SQL", "JavaScript", "CSS", "Java", "JSON", "Java Properties", "comment", "blank", "total"
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\js\customerPage.js", "JavaScript", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 5, 10, 55
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\js\menuManagerPage.js", "JavaScript", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 11, 14, 79
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\js\script.js", "JavaScript", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 4, 13, 58
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\js\userManagerPage.js", "JavaScript", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 12, 13, 76
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\managerIndex.jsp", "HTML", 0, 0, 548, 0, 0, 0, 0, 0, 0, 0, 4, 67, 619
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\menuManagement.jsp", "HTML", 0, 0, 307, 0, 0, 0, 0, 0, 0, 0, 0, 49, 356
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\menuPage.jsp", "HTML", 0, 0, 229, 0, 0, 0, 0, 0, 0, 0, 0, 34, 263
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\paymentOrderPage.jsp", "HTML", 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 30, 194
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\userManagement.jsp", "HTML", 0, 0, 308, 0, 0, 0, 0, 0, 0, 0, 0, 59, 367
"Total", "-", 18016, 102, 3105, 5, 1, 211, 2770, 1142, 6, 2, 245, 1449, 27054
