"filename", "language", "XML", "JSON", "CSS", "HTML", "JavaScript", "Java", "YAML", "SQL", "comment", "blank", "total"
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.idea\dataSources.local.xml", "XML", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.idea\dataSources.xml", "XML", -3, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.idea\dataSources\0c7c84a8-1840-4782-902a-80599c727165.xml", "XML", 17258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17258
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.idea\dataSources\eeb974da-2ebf-423d-85ad-546cbf502f86.xml", "XML", -17048, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17048
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.idea\webContexts.xml", "XML", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.idea\workspace.xml", "XML", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.vs\VSWorkspaceState.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\DBQuery\drawSQL-sqlsrv-export-2024-04-07.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\qodana.yaml", "YAML", 0, 0, 0, 0, 0, 0, 5, 0, 19, 8, 32
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\dao\GioHangEnityManager.java", "Java", 0, 0, 0, 0, 0, 44, 0, 0, 0, 7, 51
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\dao\HibernateUtils.java", "Java", 0, 0, 0, 0, 0, 20, 0, 0, 3, 6, 29
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\dao\HoaDonEnityManager.java", "Java", 0, 0, 0, 0, 0, 44, 0, 0, 0, 7, 51
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\dao\MonAnEnityManager.java", "Java", 0, 0, 0, 0, 0, 44, 0, 0, 0, 7, 51
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\dao\NguoiDungEntityManager.java", "Java", 0, 0, 0, 0, 0, 44, 0, 0, 0, 8, 52
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\dao\UserEntityManager.java", "Java", 0, 0, 0, 0, 0, -44, 0, 0, 0, -8, -52
